Number,Name,Class,Position,Birth City,HighSchool ,School
0,De'Riante Jenkins,Jr,SF,Santee (SC),West Oak Academy,VCU
5,Sean Mobley,So,PF,Melbourne (FL),Montverde Academy,VCU
14,Marcus Santos-Silva,So,F,Taunton (MA),Vermont Academy,VCU
12,Dylan Sheehy-Guiseppi,So,G,Lake Havasu City (AZ),Saint Frances High School,VCU
1,Mike'l Simms,Jr,GF,Richmond (VA),Highland Springs High School,VCU
23,Issac Vann,Jr,SF,Bridgeport (CT),Bunnell High School,VCU
10,Vincent Williams,Fr,SF,Toledo (OH),St. John's Jesuit High School and Academy,VCU
15,Saddiq Bey,Fr,F,Washington (DC),Sidwell Friends School,Villanova
5,Phil Booth,Sr,G,Baltimore (MD),Mount Saint Joseph College,Villanova
21,Dhamir Cosby-Roundtree,So,C,Philadelphia (PA),Neumann-Goretti High School,Villanova
24,Joe Cremo,Sr,SG,Scotia (NY),Scotia-Glenville High School,Villanova
34,Tim Delaney,Jr,PF,Mullica Hill (NJ),Pitman High School,Villanova
2,Collin Gillespie,So,PG,Warminster (PA),Archbishop Wood High School,Villanova
22,Peyton Heck,Sr,G,Wilmington (DE),Archmere Academy,Villanova
31,Kevin Hoehn,So,G,Morristown (NJ),Morristown High School,Villanova
42,Dylan Painter,So,FC,Hershey (PA),Hershey High School,Villanova
4,Eric Paschall,Sr,F,Dobbs Ferry (NY),St. Thomas More Prep,Villanova
1,Jahvon Quinerly,Fr,PG,Jersey City (NJ),Hudson Catholic Regional High School,Villanova
23,Jermaine Samuels,So,SF,Franklin (MA),Rivers School,Villanova
12,Tim Saunders,Jr,GF,Del Mar (CA),Torrey Pines High School,Villanova
3,Brandon Slater,Fr,SF,Fairfax (VA),Paul VI Catholic High School,Villanova
10,Cole Swider,Fr,F,Providence (RI),St. Andrew's High School,Villanova
24,Marco Anthony,So,G,San Antonio (TX),Oliver Wendell Holmes High School,Virginia 
1,Francesco Badocchi,Fr,F,Milan,Bishop Miege High School,Virginia 
23,Francisco Caffaro,RS-Fr,C,Santa Fe,NBA Global Academy,Virginia 
0,Kihei Clark,Fr,PG,Woodland Hills (CA),William Howard Taft High School,Virginia 
25,Mamadi Diakite,Jr,PF,Conakry,Blue Ridge High School,Virginia 
5,Kyle Guy,Jr,SG,Indianapolis (IN),Lawrence Central High School,Virginia 
30,Jay Huff,So,C,Durham (NC),Voyager Academy,Virginia 
12,De'Andre Hunter,So,PF,Philadelphia (PA),Friends' Central School,Virginia 
11,Ty Jerome,Jr,PG,New Rochelle (NY),Iona Preparatory School,Virginia 
45,Austin Katstra,So,F,Charlottesville (VA),Albemarle High School,Virginia 
1,Grant Kersey,Jr,G,Charlottesville (VA),Albemarle High School,Virginia 
2,Braxton Key,Jr,SF,Nashville (TN),Oak Hill Academy,Virginia 
10,Jayden Nixon,Fr,G,Charlottesville (VA),Choate Rosemary,Virginia 
33,Jack Salt,Sr,C,Auckland,Westlake Boys High School,Virginia 
23,Kody Stattmann,Fr,SG,Cairns,St. Augustine's College,Virginia 
4,Nahiem Alleyne,Fr,G,Lawrenceville (GA),Mountain View High School,Virginia Tech
3,Wabissa Bede,Jr,PG,North Andover (MA),Cushing Academy,Virginia Tech
0,Hunter Cattoor,Fr,PG,Orlando (FL),Bishop Moore High School,Virginia Tech
15,Jalen Cone,Fr,PG,Walkertown (NC),Walkertown High School,Virginia Tech
-,Andre Gordon,Fr,G,Sidney (OH),Sidney High School,Virginia Tech
-,Yavuz Gultekin,Fr,SF,N/A,Bishop Walsh High School,Virginia Tech
14,P.J. Horne,Jr,F,Tifton (GA),Tift County High School,Virginia Tech
24,Branden Johnson,Jr,SF,Garfield Heights (OH),Garfield Heights High School,Virginia Tech
10,Jonathan Kabongo,So,PG,Toronto,Putnam Science Academy,Virginia Tech
2,Landers Nolley II,Fr,SF,Fairburn (GA),Langston Hughes High School,Virginia Tech
21,John Ojiako,Fr,SF,Lagos,Admiral Farragut Academy,Virginia Tech
11,Brendan Palmer,So,G,Lewisville (NC),Forsyth Country Day School,Virginia Tech
25,Ryan Payne,Jr,F,Mechanicsville (VA),Hanover High School,Virginia Tech
23,Tyrece Radford,Fr,G,Baton Rouge (LA),McKinley Senior High School,Virginia Tech
1,Isaiah Wilkins,So,F,Winston-Salem (NC),Mount Tabor High School,Virginia Tech
13,Grant Yates,So,F,Haymarket (VA),Battlefield High School,Virginia Tech
12,Trevor Anderson,So,SG,Stevens Point (WI),Stevens Point High School,Wisconsin
31,Michael Ballard,So,G,Oak Park (IL),Fenwick High School,Wisconsin
33,Taylor Currie,Fr,C,Worthington (OH),Clarkston High School,Wisconsin
34,Brad Davison,So,G,Maple Grove (MN),Maple Grove Senior High School,Wisconsin
2,Aleem Ford,So,SF,Lawrenceville (GA),IMG Academy,Wisconsin
22,Ethan Happ,Sr,F,Taylor Ridge (IL),Rockridge High School,Wisconsin
32,Joe Hedstrom,RS-Fr,C,Hopkins (MN),Hopkins High School,Wisconsin
4,Carter Higginbottom,RS-Fr,G,Chicago (IL),St. Ignatius College Prep,Wisconsin
25,Alex Illikainen,RS-Sr,PF,Grand Rapids (MI),Brewster Academy,Wisconsin
21,Khalil Iverson,Sr,SF,Delaware (OH),Rutherford B. Hayes High School,Wisconsin
23,Kobe King,Fr,SG,La Crosse (WI),Central High School,Wisconsin
3,Walt McGrory,So,G,Minneapolis (MN),Edina High School,Wisconsin
1,Brevin Pritzl,Jr,SG,DePere (WI),DePere High School,Wisconsin
35,Nate Reuvers,So,PF,Lakeville (MN),Lakeville North High School,Wisconsin
13,Tai Strickland,Fr,PG,Tampa (FL),St. Petersburg High School,Wisconsin
15,Charlie Thomas,Sr,PF,Clarksville (MD),River Hill High School,Wisconsin
0,D'Mitrik Trice,So,PG,Huber Heights (OH),IMG Academy,Wisconsin
24,Keve Aluma,So,F,Berlin (MD),Stephen Decatur High School,Wofford
4,Isaiah Bigelow,RS-Fr,G,Greensboro (NC),Ben L. Smith High School,Wofford
14,Drew Cottrell,Fr,G,Flowery Branch (GA),Lakeview Academy,Wofford
1,Chevez Goodwin,So,PF,Columbia (SC),Hammond School,Wofford
21,Tray Hollowell,So,G,Hopkinsville (KY),University Heights Academy,Wofford
10,Nathan Hoover,Jr,SG,Arlington (TN),Arlington High School,Wofford
33,Cameron Jackson,Sr,F,Winchester (VA),John Handley High School,Wofford
25,Messiah Jones,RS-Fr,F,Chicago (IL),Simeon Career Academy,Wofford
11,Ryan Larson,Fr,G,St. Paul (MN),Cretin Derham Hall High School,Wofford
3,Fletcher Magee,Sr,SG,Orlando (FL),The First Academy,Wofford
2,"Michael Manning, Jr.",So,FC,Memphis (TN),Lausanne Collegiate School,Wofford
12,Alex Michael,Fr,F,Greensboro (NC),Greensboro Day School,Wofford
5,Storm Murphy,So,G,Middleton (WI),Middleton High School,Wofford
50,Matthew Pegram,Sr,C,Mount Pleasant (SC),Wando High School,Wofford
15,Trevor Stumpe,Jr,SG,Plainfield (IL),Plainfield North High School,Wofford
31,Donovan Theme-Love,Jr,PG,Providence (RI),New Hampton School,Wofford
11,Tobias Cameron,Fr,G,Auckland,Hillcrest Christian College,Abilene Christian 
22,Chase Cobb,Jr,G,Richmond (TX),Faith West Academy,Abilene Christian 
4,Damien Daniels,Fr,G,Kansas City (MO),Hogan Prep High School,Abilene Christian 
15,Hayden Farquhar,Sr,PF,Throckmorton (TX),Throckmorton High School,Abilene Christian 
0,Jaylen Franklin,Sr,SG,Little Rock (AR),Parkview Arts and Science Magnet High School,Abilene Christian 
21,Jalone Friday,Jr,PF,Oklahoma City (OK),Oklahoma City Storm Homeschool,Abilene Christian 
42,Clay Gayman,Fr,F,Nevada (MO),Nevada High School,Abilene Christian 
33,Paul Hiepler,So,G,Camarillo (CA),Oaks Christian High School,Abilene Christian 
23,Hayden Howell,RS-Sr,PF,Midwest City (OK),Carl Albert High School,Abilene Christian 
34,Kolton Kohl,So,C,San Angelo (TX),San Angelo Central High School,Abilene Christian 
14,Trey Lenox,Jr,SG,Hot Springs (AR),Hot Springs High School,Abilene Christian 
1,Jaren Lewis,Sr,SG,Orlando (FL),Lake Highland Preparatory,Abilene Christian 
13,B.J. Maxwell,Jr,G,Austin (TX),N/A,Abilene Christian 
32,Joe Pleasant,Fr,F,Overland Park (KS),Blue Valley Northwest High School,Abilene Christian 
5,Payten Ricks,Jr,SG,Wichita (KS),Maize High School,Abilene Christian 
50,Seth Adelsperger,Jr,C,Peru (IN),Peru High School,Belmont
24,Michael Benkert,Jr,SG,Greenwood (IN),Center Grove High School,Belmont
31,Rilee Epley,RS-Fr,F,Evansville (IN),Harrison High School,Belmont
10,Caleb Hollander,Fr,F,Nashville (TN),Nashville Central Christian High School,Belmont
14,Nick Hopkins,So,PG,Fayetteville (TN),Fayetteville High School,Belmont
5,Adam Kunkel,Fr,G,Hebron (KY),Cooper High School,Belmont
1,Mitch Listau,RS-Fr,PG,Waunakee (WI),Waunakee High School,Belmont
0,Michael Mayernick,Fr,G,Nashville (TN),Christ Presbyterian Academy,Belmont
11,Kevin McClain,Sr,SG,Jasper (FL),Hamilton County High School,Belmont
25,Mack Mercer,Sr,F,Plymouth (IN),Plymouth High School,Belmont
2,Grayson Murphy,Fr,G,Thompson's Station (TN),Independence High School,Belmont
33,Nick Muszynski,Fr,C,Pickerington (OH),Saint Charles Preparatory School,Belmont
20,Tate Pierson,Fr,G,Brentwood (TN),Brentwood Academy,Belmont
21,Derek Sabin,Fr,F,Slinger (WI),Slinger High School,Belmont
35,Garrett Suedekum,So,G,Brentwood (TN),Brentwood Academy,Belmont
3,Dylan Windler,Sr,SF,Indianapolis (IN),Perry Meridian High School,Belmont
30,Francisco Amiel,Sr,PG,Lisbon,Agrupamento de Escolas Professor Ruy Luis Gomes,Colgate
12,Dana Batt,Sr,PF,Fort Wayne (IN),Homestead High School,Colgate
22,Hugh Baxter,So,F,Melbourne,Scotch College,Colgate
1,Jordan Burns,So,PG,San Antonio (TX),John Marshall High School,Colgate
14,Liam Courtney,Fr,FC,Mississauga,Chaminade College Preparatory School,Colgate
0,Nelly Cummings,So,G,Midland (PA),Lincoln Park Performing Arts Charter School,Colgate
3,David Favorite,Sr,G,San Antonio (TX),Alamo Heights High School,Colgate
13,Jack Ferguson,So,G,Fort Wayne (IN),Homestead High School,Colgate
25,Rapolas Ivanauskas,So,SF,Alytus,Barrington High School,Colgate
2,Zach Light,Fr,G,New York (NY),Northfield Mount Hermon School,Colgate
4,Sam Lindgren,Sr,PF,Doylestown (PA),Germantown Friends School,Colgate
21,David Maynard,So,G,Herriman (UT),Herriman High School,Colgate
10,Will Rayman,Jr,SF,New York (NY),New Hampton School,Colgate
5,Malcolm Regisford,Sr,PF,Burbank (CA),Kent School,Colgate
15,Tucker Richardson,Fr,G,Flemington (NJ),Hunterdon Central Regional High School,Colgate
23,Milan Williams,Jr,G,Detroit (MI),Detroit Country Day School,Colgate
42,Jimmy Yfantopulos,Fr,G,Lowell (MA),Brimmer & May School,Colgate
24,Nadi Beciri,Sr,F,Hackensack (NJ),Bergen Catholic High School,Fairleigh Dickinson
12,Kaleb Bishop,Jr,PF,Jersey City (NJ),St. Anthony High School,Fairleigh Dickinson
35,Marc Dadika,RS-Fr,F,Saddle Brook (NJ),St. Mary High School,Fairleigh Dickinson
1,Darnell Edge,Sr,G,Saugerties (NY),Saugerties High School,Fairleigh Dickinson
22,Brian Fabre,Jr,G,Bronx (NY),North Bergen High School,Fairleigh Dickinson
34,Mike Holloway,Sr,PF,Pittsgrove (NJ),Arthur P. Schalick High School,Fairleigh Dickinson
3,Jahlil Jenkins,So,G,Shenandoah Junction (WV),Virginia Academy,Fairleigh Dickinson
11,Tyler Jones,So,G,Lawrenceville (NJ),The Peddie School,Fairleigh Dickinson
5,Xzavier Malone,So,SF,Conshohocken (PA),Plymouth-Whitemarsh High School,Fairleigh Dickinson
33,Pat McNamara,Jr,SG,Chicago (IL),St. Viator High School,Fairleigh Dickinson
15,Oscar Okeke,So,C,Jersey City (NJ),St. Anthony High School,Fairleigh Dickinson
10,Brandon Powell,Fr,G,Middletown (NY),Pine Bush High School,Fairleigh Dickinson
2,"Bassel Saliba, Jr.",Fr,G,Hackensack (NJ),Hackensack High School,Fairleigh Dickinson
21,Elyjah Williams,So,F,Evanston (IL),Evanston Township High School,Fairleigh Dickinson
0,Jaylen Alston,Fr,F,Greensboro (NC),Eastern Guilford High School,Gardener-Webb
32,Gabe Bryant,RS-Fr,PF,Roebuck (SC),Dorman High School,Gardener-Webb
1,Jaheam Cornwall,So,PG,Brooklyn (NY),Putnam Science Academy,Gardener-Webb
24,Ludovic Dufeal,Fr,F,Saint-Joseph,Moravian Prep,Gardener-Webb
11,David Efianayi,Sr,G,Orlando (FL),Ocoee High School,Gardener-Webb
35,Kaleb Hewitt,So,G,Hickory (NC),Hickory High School,Gardener-Webb
2,Eric Jamison,Jr,SG,Atlanta (GA),Greater Atlanta Christian School,Gardener-Webb
3,Justin Jenkins,Jr,G,Knoxville (TN),Webb School of Knoxville,Gardener-Webb
10,Nate Johnson,So,G,Hollywood (FL),McArthur High School,Gardener-Webb
21,Kennedy Kincaid,Fr,G,Marion (NC),Moravian Prep,Gardener-Webb
25,D.J. Laster,Sr,PF,Pensacola (FL),Pensacola Catholic High School,Gardener-Webb
14,Brandon Miller,Sr,FC,Orlando (FL),Orlando Christian Prep High School,Gardener-Webb
23,Nick Morgan,So,G,Bluefield (VA),Graham High School,Gardener-Webb
5,Jose Perez,Fr,F,Brooklyn (NY),Putnam Science Academy,Gardener-Webb
4,Christian Turner,Jr,PG,Tyrone (GA),Sandy Creek High School,Gardener-Webb
15,Erick Valdez,RS-Fr,F,San Cristobal,Trinity Christian School,Gardener-Webb
2,Malik Benlevi,Sr,SF,Savannah (GA),Jenkins High School,Georgia State
35,Matt Chism,So,G,Dawsonville (GA),Dawson County High School,Georgia State
14,Chris Clerkley,Jr,PF,Perry (GA),Perry High School,Georgia State
0,Kavonte Ivery,Fr,SF,Stockbridge (GA),Stockbridge High School,Georgia State
20,Josh Linder,So,F,Kathleen (GA),Veterans High School,Georgia State
24,Devin Mitchell,Sr,G,Suwanee (GA),Collins Hill High School,Georgia State
10,Nelson Phillips,Fr,SG,Warner Robbins (GA),Warner Robins High School,Georgia State
15,D'Marcus Simonds,Jr,SG,Buford (GA),Buford High School,Georgia State
30,Jeff Thomas,Sr,G,Norwalk (OH),Norwalk High School,Georgia State
50,Jordan Tyson,Sr,F,Columbus (OH),Fishburne Miltary Academy,Georgia State
21,James Wall,Fr,F,Canton (GA),Creekview High School,Georgia State
12,Kane Williams,So,G,Douglasville (GA),South Paulding High School,Georgia State
1,Damon Wilson,Jr,PG,Powder Springs (GA),Our Savior New American School,Georgia State
12,Tajuan Agee,Jr,F,Chicago (IL),Hyde Park Career Academy,Iona
2,E.J. Crawford,Jr,SF,Simsbury (CT),St. Thomas More Prep,Iona
3,Asante Gist,Jr,PG,West Orange (NJ),St. Anthony High School,Iona
11,Roland Griffin,RS-Sr,SG,Aurora (IL),West Aurora High School,Iona
32,Payton Hudson,Fr,G,Yonkers (NY),Our Saviour Lutheran School,Iona
21,Gavin Kensmil,So,F,Paramaribo,Canarias Basketball Academy,Iona
13,Jahnathan Maxwell,Jr,F,Virginia Beach (VA),Genesis Academy,Iona
0,Rickey McGill,Sr,PG,Spring Valley (NY),Spring Valley High School,Iona
44,Niksa Nikolic,Jr,SF,Belgrade,N/A,Iona
5,Ben Perez,Jr,G,San Diego (CA),Air Force Prep Academy,Iona
24,Malik Rhem,Jr,G,Bronx (NY),Cardinal Spellman High School,Iona
10,Andrija Ristanovic,Fr,C,Belgrade,Hillcrest Academy,Iona
1,Isaiah Still,Jr,SG,Roselle (NJ),Union Catholic Regional High School,Iona
0,Myo Baxter-Bell,Jr,SF,Cincinnati (OH),Chaminade-Julienne High School,Liberty
3,"Lovell Cabbil, Jr.",Sr,PG,Arlington (TX),Mansfield Summit High School,Liberty
10,Elijah Cuffee,So,SG,Poca (WV),Poca High School,Liberty
4,Tytist Dean,RS-Fr,G,St. Paul (MN),North St. Paul High School,Liberty
15,Zach Farquhar,Sr,G,Cincinnati (OH),Sycamore High School,Liberty
5,Keenan Gumbs,Sr,G,Cibolo (TX),Steele High School,Liberty
1,Caleb Homesley,Jr,SG,Indian Trail (NC),Porter Ridge High School,Liberty
31,Scottie James,Jr,SF,Tarpon Springs (FL),Tarpon Springs High School,Liberty
20,Keegan McDowell,So,SF,Cincinnati (OH),Moeller High School,Liberty
2,Darius McGhee,Fr,G,Roxboro (NC),Blue Ridge School,Liberty
55,Brendan Newton,Fr,C,Roanoke (VA),Faith Christian Academy,Liberty
11,Jorge Pacheco-Ortiz,Jr,SG,Ponce (PR),Deep Run High School,Liberty
32,Blake Preston,RS-Fr,C,Charlotte (NC),Charlotte Christian School,Liberty
25,Josh Price,RS-Fr,GF,Matthews (NC),Carmel Christian School,Liberty
5,Amir Coffey,Jr,SF,Minnetonka (MN),Hopkins High School,Minnesota
13,Hunt Conroy,So,G,New Orleans (LA),Jesuit High School,Minnesota
24,Eric Curry,So,PF,Memphis (TN),Ridgeway High School,Minnesota
42,Michael Hurt,Jr,PF,Rochester (MN),John Marshall High School,Minnesota
12,Jarvis Johnson,Sr,PG,Brooklyn Park (MN),De La Salle High School,Minnesota
22,Gabe Kalscheur,Fr,SG,Minneapolis (MN),De La Salle High School,Minnesota
1,Dupree McBrayer,Sr,SG,Springfield Garden (NY),Sunrise Christian Academy,Minnesota
3,Jordan Murphy,Sr,SF,San Antonio (TX),William J. Brennan High School,Minnesota
21,Jarvis Omersa,Fr,PF,Long Lake (MN),Orono High School,Minnesota
25,Daniel Oturu,Fr,FC,St. Paul (MN),Cretin Derham Hall High School,Minnesota
10,Brady Rudrud,Jr,G,Eden Prairie (MN),Eden Prairie High School,Minnesota
35,Matz Stockman,Sr,C,Oslo,Canarias Basketball Academy,Minnesota
31,Brock Stull,Sr,G,Rockford (IL),Boylan Catholic High School,Minnesota
11,Isaiah Washington,So,PG,Bronx (NY),St. Raymond High School for Boys,Minnesota
15,Jamar Akoh,Sr,F,Rancho Cucamonga (CA),Los Osos High School,Montana
23,Mack Anderson,Fr,F,Bozeman (MT),Bozeman High School,Montana
3,Freddy Brown III,Fr,PG,Seattle (WA),Nathan Hale High School,Montana
13,Ben Carter,Fr,FC,Adelaide,Sacred Heart College High School,Montana
2,Donaven Dorsey,Sr,F,Lacey (WA),Timberline High School,Montana
10,Eddy Egun,RS-Fr,G,Woodland Hills (CA),El Camino Real High School,Montana
1,Timmy Falls,So,SG,Dublin (CA),Dublin High School,Montana
32,Peter Jones,Fr,F,Seattle (WA),O'Dea High School,Montana
33,Kelby Kramer,Fr,C,Rock Springs (WY),Rock Springs High School,Montana
12,Kendal Manuel,Jr,SG,Billings (MT),Skyview High School,Montana
34,Tony Miller,Jr,F,Woodinville (WA),Woodinville High School,Montana
24,Bobby Moorehead,Sr,SG,Tacoma (WA),Stadium High School,Montana
0,Michael Oguine,Sr,PG,Reseda (CA),Chaminade College Preparatory High School,Montana
4,Sayeed Pridgett,Jr,SG,Oakland (CA),El Cerrito High School,Montana
14,Ahmaad Rorie,Sr,G,Tacoma (WA),Lincoln High School,Montana
10,Tevin Brown,Fr,G,Fairhope (AL),Fairhope High School,Murray State
11,Shaq Buchanan,Sr,G,Madison (MS),Madison Central High School,Murray State
32,Darnell Cowart,Jr,F,Chicago (IL),Agua Fria High School,Murray State
0,Mike Davis,Jr,F,East Brewton (AL),W.S. Neal High School,Murray State
14,Jaiveon Eaves,Jr,SG,Madisonville (KY),Madisonville-North Hopkins High School,Murray State
13,Devin Gilmore,So,F,Picayune (MS),Ridgeland High School,Murray State
25,Jalen Johnson,Fr,G,Hopkinsville (KY),Hopkinsville High School,Murray State
12,Ja Morant,So,G,Dalzell (SC),Crestwood High School,Murray State
4,Brion Sanchious,Sr,SF,Oakland Park (FL),Northeast High School,Murray State
24,Anthony Smith,RS-Sr,F,Suitland (MD),Potomac High School,Murray State
1,DaQuan Smith,RS-Fr,PG,Holly Springs (MS),Holly Springs High School,Murray State
22,Brion Whitley,So,SG,Sarasota (FL),Sarasota Christian High School,Murray State
23,K.J. Williams,Fr,F,Cleveland (MS),Cleveland Central Catholic High School,Murray State
12,Noah Christensen,Fr,F,Breckenridge (MN),Breckenridge High School,ND State
21,Jarius Cook,So,G,Brooklyn Park (MN),Park Center Senior High School,ND State
3,Tyree Eady,So,G,Middleton (WI),Middleton High School,ND State
5,Sam Griesel,So,GF,Lincoln (NE),Lincoln East High School,ND State
23,Maleeck Harden-Hayes,Fr,F,Moorhead (MN),Moorhead Park Christian High School,ND State
22,Cameron Hunter,Jr,PG,Olathe (KS),Olathe East High School,ND State
2,Jaxon Knotek,So,G,River Falls (WI),River Falls High School,ND State
34,Rocky Kreuser,Jr,F,White Bear Lake (MN),Totino-Grace High School,ND State
13,Chris Quayle,Sr,G,Riverton (WY),Riverton High School,ND State
11,Jared Samuelson,Sr,G,Gretna (NE),Gretna High School,ND State
0,Vinnie Shahid,Sr,G,Minneapolis (MN),Hopkins High School,ND State
24,Tyson Ward,Sr,SG,Tampa (FL),Tampa Preparatory School,ND State
32,Odell Wilson IV,Fr,F,Minneapolis (MN),North Community High School,ND State
44,Tyler Witz,Jr,F,Clear Folk (WV),Countryside High School,ND State
15,Ivan Aurrecoechea,Jr,PF,Torrejon de Ardoz,Canarias Basketball Academy,NM State
13,C.J. Bobbitt,Jr,SG,Harker Heights (TX),Harker Heights High School,NM State
25,Robert Brown,Fr,PF,Dallas (TX),Advanced Prep International,NM State
3,Terrell Brown,Jr,SG,Hayward (CA),Moreau Catholic High School,NM State
1,Shunn Buchanan,Jr,G,Madison (MS),Madison Central High School,NM State
22,Eli Chuha,Sr,F,Redlands (CA),Redlands East Valley High School,NM State
-,Junub Chuol,Fr,PG,Omaha (NE),Village Christian Academy,NM State
12,A.J. Harris,Jr,PG,Dayton (OH),Dunbar High School,NM State
5,Clayton Henry,Jr,G,Calgary,Bishop McNally High School,NM State
0,Berrick JeanLouis,Fr,SF,Lehigh Acres (FL),Lehigh Senior High School,NM State
11,Keyon Jones,Sr,G,Dorchester (MA),Milton High School,NM State
35,Johnny McCants,So,F,Las Cruces (NM),Onate High School,NM State
-,"William McNair, Jr.",RS-Fr,C,Philadelphia (PA),Martin Luther King High School,NM State
-,Tennessee Owens,Fr,G,Las Cruces (NM),Centennial High School,NM State
20,Trevelin Queen,Jr,G,Baltimore (MD),North County High School,NM State
10,Jabari Rice,Fr,G,Houston (TX),Marshall High School,NM State
23,Mohamed Thiam,Jr,F,Dakar,Canarias Basketball Academy,NM State
21,Addison Wallace,Fr,G,Cleburne (TX),Cleburne High School,NM State
4,JoJo Zamora,Sr,SG,Oakland (CA),Newark Memorial High School,NM State
14,Maxime Boursiquot,RS-Jr,SF,Ottawa,Kent School,Northeastern
20,Bolden Brace,Jr,SF,Santa Barbara (CA),Santa Barbara High School,Northeastern
13,Myles Franklin,So,PG,Villa Park (CA),Villa Park High School,Northeastern
30,Anthony Green,Sr,PF,Quincy (MA),Tilton School,Northeastern
22,"Donnell Gresham, Jr.",Jr,PG,St. Paul (MN),Cretin Derham Hall High School,Northeastern
11,Jeremy Miller,Sr,PF,Milton (MA),New Hampton School,Northeastern
33,Tomas Murphy,So,PF,Wakefield (RI),Northfield Mount Hermon School,Northeastern
1,Shawn Occeus,Jr,SF,Boca Raton (FL),Grandview Prep,Northeastern
4,Vasa Pusica,Sr,G,Belgrade,Sunrise Christian Academy,Northeastern
12,Jordan Roland,Jr,PG,Syracuse (NY),Westhill High School,Northeastern
0,Jason Strong,Fr,F,Coconut Creek (FL),Westminster Academy,Northeastern
24,Shaquille Walters,So,GF,Denmark Hill,Lee Academy Prep,Northeastern
0,Silas Adheke,So,FC,Lagos,Hamilton Heights Christian Academy,Northern Kentucky
3,Tre Cobbs,RS-Jr,PG,Lima (OH),Lima Central Catholic High School,Northern Kentucky
2,Paul Djoko,Fr,GF,Strasbourg,N/A,Northern Kentucky
24,Brooks Ely,Jr,G,Nicholasville (KY),Hargrave Military Academy,Northern Kentucky
12,Trevon Faulkner,Fr,PG,Harrodsburg (KY),Mercer County High School,Northern Kentucky
10,"Gerald Gray, Jr.",Fr,G,Louisville (KY),Pleasure Ridge Park High School,Northern Kentucky
34,Drew McDonald,Sr,SF,Newport (KY),Newport Central Catholic High School,Northern Kentucky
25,Bryant Mocaby,Fr,GF,Derby (KS),Derby High School,Northern Kentucky
4,Adrian Nelson,Fr,F,Pickerington (OH),Pickerington High School Central,Northern Kentucky
5,Zaynah Robinson,Sr,G,Duluth (GA),Duluth High School,Northern Kentucky
15,Tyler Sharpe,Jr,G,Mount Washington (KY),Bullitt East High School,Northern Kentucky
11,Jalen Tate,So,SF,Pickerington (OH),Pickerington High School Central,Northern Kentucky
20,Chris Taylor,Fr,G,Wichita (KS),IMG Academy,Northern Kentucky
33,Chris Vogt,So,C,Mayfield (KY),Graves County High School,Northern Kentucky
32,Dantez Walton,Jr,SF,Lima (OH),Lima Central Catholic High School,Northern Kentucky
44,David Wassler,Fr,C,Cincinnati (OH),St. Xavier High School,Northern Kentucky
10,Justin Ahrens,Fr,SG,Versailles (OH),Versailles High School,Ohio State
42,Harrison Hookfin,Fr,F,Lebanon (OH),Lebanon High School,Ohio State
40,Daniel Hummer,Jr,G,Upper Arlington (OH),Upper Arlington High School,Ohio State
3,C.J. Jackson,Sr,PG,Charlotte (NC),Montverde Academy,Ohio State
2,Musa Jallow,So,SF,Bloomington (IN),Bloomington High School North,Ohio State
14,Joey Lane,Sr,G,Deerfield (IL),Deerfield High School,Ohio State
23,Jaedon LeDee,Fr,SG,Houston (TX),The Kinkaid School,Ohio State
1,Luther Muhammad,Fr,SG,Jersey City (NJ),Hudson Catholic Regional High School,Ohio State
4,"Duane Washington, Jr.",Fr,G,Chatsworth (CA),Sierra Canyon School,Ohio State
24,Andre Wesson,Jr,SF,Westerville (OH),Westerville South High School,Ohio State
34,Kaleb Wesson,So,C,Westerville (OH),Westerville South High School,Ohio State
32,Keyshawn Woods,Sr,G,Gastonia (NC),Northside Christian Academy,Ohio State
25,Kyle Young,So,PF,Massillon (OH),Jackson High School,Ohio State
24,Jamal Bieniemy,Fr,SG,Katy (TX),Obra D. Tompkins High School,Oklahoma
2,Aaron Calixte,Sr,G,Stoughton (MA),Stoughton High School,Oklahoma
21,Kristian Doolittle,Jr,SF,Edmond (OK),Edmond Memorial High School,Oklahoma
5,Matt Freeman,Jr,PF,Auckland,Westlake Boys High School,Oklahoma
22,Patrick Geha,Sr,F,Leawood (KS),Rockhurst High School,Oklahoma
0,Christian James,Sr,SF,Houston (TX),Bellaire High School,Oklahoma
52,Kur Kuath,RS-Jr,F,Khartoum,Kearns High School,Oklahoma
14,Ty Lazenby,RS-Sr,G,Glencoe (OK),Glencoe High School,Oklahoma
35,Brady Manek,So,SF,Harrah (OK),Harrah High School,Oklahoma
4,Jamuni McNeace,Sr,C,Allen (TX),Allen High School,Oklahoma
1,Rashard Odomes,Sr,SG,Copperas Cove (TX),Copperas Cove High School,Oklahoma
44,Hannes Polla,So,C,Kuopio,Helsinki Basketball Academy,Oklahoma
3,Miles Reynolds,Sr,G,Chicago (IL),Whitney Young High School,Oklahoma
30,Luke Stephenson,Jr,G,Lubbock (TX),Trinity High School,Oklahoma
32,Read Streller,So,F,Edmond (OK),Oklahoma Christian School,Oklahoma
30,Marshall Thorpe,Jr,F,Tulsa (OK),Bishop Kelly High School,Oklahoma
20,Loren Brill,So,G,Gaithersburg (MD),Georgetown Preparatory School,Old Dominion
13,Aaron Carver,Jr,PF,Elizabeth City (NC),South Kent School,Old Dominion
